app_name,repo,electron_version,date_accessed,access_type,vulnerable_cve_2023_4863,vulnerable_cve_2023_5217
monolith code,https://github.com/Haeri/MonolithCode2,^26.2.3,2023-10-02 22:12:41-0700,programmatic,patched,vulnerable
MonsterWriter,,,,programmatic,unknown,unknown
Moonitor,,,,programmatic,unknown,unknown
Moosync,https://github.com/Moosync/Moosync,25.5.0,2023-10-02 22:12:42-0700,programmatic,vulnerable,vulnerable
Morgen,,,,programmatic,unknown,unknown
Motrix,https://github.com/agalwood/Motrix,^22.3.9,2023-10-02 22:12:44-0700,programmatic,vulnerable,vulnerable
MoviePrint,https://github.com/fakob/MoviePrint_v004,7.1.11,2023-10-02 22:12:46-0700,programmatic,vulnerable,vulnerable
Mr Noplay,https://github.com/scris/mrnoplay,,2023-10-02 22:12:47-0700,programmatic,unknown,unknown
Mr.Dclutterer,,,,programmatic,unknown,unknown
mStream,https://github.com/IrosTheBeggar/mStream,,2023-10-02 22:12:48-0700,programmatic,unknown,unknown
muezzin,,,,programmatic,unknown,unknown
Multiple File Manager,,,,programmatic,unknown,unknown
Multrin,,,,programmatic,unknown,unknown
Museeks,https://github.com/martpie/museeks,26.1.0,2023-10-02 22:12:49-0700,programmatic,vulnerable,vulnerable
Music Player,https://github.com/Tenpi/Music-Player,^17.2.0,2023-10-02 22:12:50-0700,programmatic,vulnerable,vulnerable
music-player,https://github.com/Aveek-Saha/MusicPlayer,^7.3.3,2023-10-02 22:12:52-0700,programmatic,vulnerable,vulnerable
Musify,https://github.com/SrGMC/musify,^7.2.4,2023-10-02 22:12:53-0700,programmatic,vulnerable,vulnerable
MuteMe,,23.2.2,,programmatic,vulnerable,unknown
MyLottery,https://gitee.com/gemron/myLottery,,2023-10-02 22:12:59-0700,programmatic,unknown,unknown
MyTools,,,,programmatic,unknown,unknown
NATTT,,,,programmatic,unknown,unknown
Nertivia,https://github.com/supertiger1234/nertivia-desktop-app/,^15.3.1,2023-10-02 22:13:00-0700,programmatic,vulnerable,vulnerable
Netron,https://github.com/lutzroeder/netron,26.2.4,2023-10-02 22:13:01-0700,programmatic,patched,patched
